Clase,f0,pe,fe,chi
Diferentes,303139,0.3024,302400.0000,1.80595569
Un par,504092,0.5040,504000.0000,0.01679365
Dos pares,107267,0.1080,108000.0000,4.97489815
Tercia,71902,0.0720,72000.0000,0.13338889
Full,8976,0.0090,9000.0000,0.06400000
Poker,4516,0.0045,4500.0000,0.05688889
Quintilla,108,0.0001,100.0000,0.64000000
