Huecos,f0,pe,fe,chi
0,491427,0.70000000,1331995.00000000,530448.35950886
1,146755,0.21000000,399598.50000000,159985.17384888
2,43896,0.06300000,119879.55000000,48160.84036520
3,18790,0.02700000,51376.95000000,20668.98308098
