Huecos,f0,pe,fe,chi
0,40009,0.20000000,120176.40000000,53478.15397000
1,32143,0.16000000,96141.12000000,42601.53577922
2,25410,0.12800000,76912.89600000,34487.69236809
3,102578,0.51200000,307651.58400000,136697.41045313
