Huecos,f0,pe,fe,chi
0,32,0.6000,63.0000,15.2540
1,15,0.2400,25.2000,4.1286
2,8,0.0960,10.0800,0.4292
3,2,0.0640,6.7200,3.3152
Huecos,f0,pe,fe,chi
0,32,0.6000,63.0000,15.2540
1,15,0.2400,25.2000,4.1286
2,8,0.0960,10.0800,0.4292
3,2,0.0640,6.7200,3.3152
Huecos,f0,pe,fe,chi
0,32,0.6000,63.0000,15.2540
1,15,0.2400,25.2000,4.1286
2,8,0.0960,10.0800,0.4292
3,2,0.0640,6.7200,3.3152
Huecos,f0,pe,fe,chi
0,32,0.6000,63.0000,15.2540
1,15,0.2400,25.2000,4.1286
2,8,0.0960,10.0800,0.4292
3,2,0.0640,6.7200,3.3152
Huecos,f0,pe,fe,chi
0,32,0.6000,63.0000,15.2540
1,15,0.2400,25.2000,4.1286
2,8,0.0960,10.0800,0.4292
3,2,0.0640,6.7200,3.3152
