Huecos,f0,pe,fe,chi
0,490197,0.70000000,1330310.10000000,530545.48769615
1,147108,0.21000000,399093.03000000,159101.88996310
2,44356,0.06300000,119727.90900000,47448.62508460
3,18576,0.02700000,51311.96100000,20884.86040503
