Huecos,f0,pe,fe,chi
0,160635,0.40000000,160161.60000000,1.39925900
1,95587,0.24000000,96096.96000000,2.70621674
2,58019,0.14400000,57658.17600000,2.25803118
3,86163,0.21600000,86487.26400000,1.21575290
