Huecos,f0,pe,fe,chi
0,40152,0.20000000,120020.80000000,53149.33089464
1,31720,0.16000000,96016.64000000,43055.64030661
2,25747,0.12800000,76813.31200000,33949.43081326
3,102081,0.51200000,307253.24800000,137006.36729924
Huecos,f0,pe,fe,chi
0,40152,0.20000000,120020.80000000,53149.33089464
1,31720,0.16000000,96016.64000000,43055.64030661
2,25747,0.12800000,76813.31200000,33949.43081326
3,102081,0.51200000,307253.24800000,137006.36729924
