Huecos,f0,pe,fe,chi
0,360176,0.60000000,720123.60000000,179916.71811028
1,143750,0.24000000,288049.44000000,72287.34200738
2,58079,0.09600000,115219.77600000,28337.74196786
3,38097,0.06400000,76813.18400000,19514.13579630
