Huecos,f0,pe,fe,chi
0,160604,0.40000000,160078.00000000,1.72838241
1,95908,0.24000000,96046.80000000,0.20058388
2,57231,0.14400000,57628.08000000,2.73603643
3,86452,0.21600000,86442.12000000,0.00112925
