Huecos,f0,pe,fe,chi
0,359666,0.60000000,719954.40000000,180299.93451607
1,143589,0.24000000,287981.76000000,72397.88082557
2,58047,0.09600000,115192.70400000,28349.29099030
3,38340,0.06400000,76795.13600000,19256.39515475
Huecos,f0,pe,fe,chi
0,359666,0.60000000,719954.40000000,180299.93451607
1,143589,0.24000000,287981.76000000,72397.88082557
2,58047,0.09600000,115192.70400000,28349.29099030
3,38340,0.06400000,76795.13600000,19256.39515475
